timestamp,ukfx,ukfy,trilx,trily,yaw1,pitch1,roll1,accx1,accy1,accz1,yaw2,pitch2,roll2,accx2,accy2,accz2
4596267,3.62,6.77,3.63,6.77,0.0,-1.0097941160202026,0.06470643728971481,-0.010773907415568829,0.6931213736534119,10.139444351196289,-99.081,0.527,0.541,0.09,0.098,9.826
4596309,3.62,6.77,3.63,6.77,0.0,-1.0026195049285889,0.08298142999410629,0.16639702022075653,0.7457938194274902,10.165780067443848,-99.081,0.527,0.539,0.093,0.09,9.824
4596340,3.62,6.77,3.63,6.77,0.0,-0.9814112782478333,0.13679753243923187,0.16160862147808075,0.7386112213134766,10.165780067443848,-99.081,0.527,0.539,0.093,0.09,9.824
4596381,3.62,6.77,3.63,6.77,0.0,-0.9523032903671265,0.21041767299175262,0.15562310814857483,0.7577648162841797,10.162189483642578,-99.081,0.527,0.539,0.093,0.09,9.824
4596423,3.62,6.77,3.63,6.77,0.0,-0.9237386584281921,0.28251808881759644,0.1735796183347702,0.7362170219421387,10.163386344909668,-99.081,0.528,0.538,0.09,0.096,9.819
4596445,3.62,6.78,3.63,6.77,0.0,-0.9089127779006958,0.3200085163116455,0.15921440720558167,0.7433996200561523,10.133459091186523,-99.081,0.528,0.538,0.09,0.096,9.819
4596487,3.62,6.78,3.63,6.77,0.0,-0.881126880645752,0.3898492455482483,0.15921440720558167,0.7374141216278076,10.170568466186523,-99.081,0.528,0.538,0.09,0.096,9.819
4596529,3.62,6.79,3.63,6.77,0.0,-0.8538436889648438,0.4582505524158478,0.15801730751991272,0.7338228225708008,10.17416000366211,-99.082,0.531,0.538,0.093,0.094,9.821
4596551,3.62,6.79,3.63,6.77,0.0,-0.8396782279014587,0.4938129484653473,0.16160862147808075,0.7493851184844971,10.156203269958496,-99.082,0.531,0.538,0.093,0.094,9.821
4596593,3.62,6.8,3.63,6.77,0.0,-0.8131098747253418,0.5600394606590271,0.16879121959209442,0.7661445140838623,10.15021800994873,-99.082,0.531,0.538,0.093,0.094,9.821
4596635,3.62,6.81,3.63,6.77,0.0,-0.7870115637779236,0.6249200105667114,0.16879121959209442,0.7445967197418213,10.165780067443848,-99.082,0.535,0.541,0.09,0.099,9.826
4596658,3.47,7.16,3.62,6.77,0.0,-0.7734599113464355,0.6586713194847107,0.1604115068912506,0.7529764175415039,10.15021800994873,-99.082,0.535,0.541,0.09,0.099,9.826
4596701,3.47,7.18,3.62,6.77,0.0,-0.7468593120574951,0.7245153784751892,0.16639702022075653,0.7553706169128418,10.156203269958496,-99.082,0.535,0.541,0.09,0.099,9.826
4596743,3.47,7.19,3.62,6.77,0.0,-0.7219313979148865,0.7861761450767517,0.15562310814857483,0.7338228225708008,10.1753568649292,-99.082,0.536,0.539,0.081,0.092,9.819
4596765,3.47,7.2,3.62,6.77,0.0,-0.7089954614639282,0.8182757496833801,0.1711854189634323,0.7529764175415039,10.168174743652344,-99.082,0.536,0.539,0.081,0.092,9.819
4596807,3.47,7.21,3.62,6.77,0.0,-0.6847238540649414,0.8781054615974426,0.15442600846290588,0.7410054206848145,10.168174743652344,-99.082,0.536,0.539,0.081,0.092,9.819
4596845,3.47,7.23,3.62,6.77,0.0,-0.6636601686477661,0.9299350380897522,0.16998831927776337,0.7469909191131592,10.17296314239502,-99.083,0.538,0.537,0.094,0.092,9.829
4596887,3.47,7.24,3.62,6.77,0.0,-0.6395983099937439,0.9888653755187988,0.152031809091568,0.7433996200561523,10.153809547424316,-99.083,0.538,0.537,0.094,0.092,9.829
4596929,3.47,7.26,3.62,6.77,0.0,-0.6165011525154114,1.0452666282653809,0.15921440720558167,0.7218518257141113,10.180145263671875,-99.083,0.538,0.538,0.094,0.095,9.829
4596951,3.47,7.27,3.62,6.77,0.0,-0.6045089960098267,1.0746005773544312,0.15682020783424377,0.7350199222564697,10.15141487121582,-99.083,0.538,0.538,0.094,0.095,9.829
4596993,3.47,7.29,3.62,6.77,0.0,-0.5820185542106628,1.1292355060577393,0.15562310814857483,0.7553706169128418,10.170568466186523,-99.083,0.538,0.538,0.094,0.095,9.829
4597035,3.47,7.31,3.62,6.77,0.0,-0.5599694848060608,1.1827638149261475,0.15562310814857483,0.7481880187988281,10.1753568649292,-99.083,0.537,0.539,0.101,0.089,9.819
4597058,3.47,7.09,3.56,6.79,0.0,-0.5485504865646362,1.2106095552444458,0.16400282084941864,0.7445967197418213,10.168174743652344,-99.083,0.537,0.539,0.101,0.089,9.819
4597101,3.48,7.11,3.56,6.79,0.0,-0.5261522531509399,1.2648640871047974,0.1472434103488922,0.7469909191131592,10.17176628112793,-99.083,0.537,0.539,0.101,0.089,9.819
4597140,3.48,7.12,3.56,6.79,0.0,-0.507157027721405,1.3108885288238525,0.15682020783424377,0.7410054206848145,10.14902114868164,-99.083,0.535,0.541,0.092,0.09,9.821
4597182,3.48,7.13,3.56,6.79,0.0,-0.48608312010765076,1.3617974519729614,0.14245499670505524,0.7457938194274902,10.14902114868164,-99.083,0.535,0.541,0.092,0.09,9.821
4597224,3.48,7.15,3.56,6.79,0.0,-0.46591097116470337,1.4104734659194946,0.1759738177061081,0.7230489253997803,10.159794807434082,-99.083,0.535,0.541,0.089,0.096,9.826
4597246,3.48,7.16,3.56,6.79,0.0,-0.45547574758529663,1.4357670545578003,0.16639702022075653,0.7410054206848145,10.168174743652344,-99.083,0.535,0.541,0.089,0.096,9.826
4597288,3.48,7.18,3.56,6.79,0.0,-0.435951828956604,1.4828087091445923,0.15562310814857483,0.7266402244567871,10.158597946166992,-99.083,0.535,0.541,0.089,0.096,9.826
4597330,3.48,7.19,3.56,6.79,-0.01,-0.4168362617492676,1.5288199186325073,0.15442600846290588,0.7398083209991455,10.153809547424316,-99.083,0.535,0.542,0.1,0.101,9.824
4597352,3.48,7.2,3.56,6.79,-0.01,-0.4069526791572571,1.5527182817459106,0.15682020783424377,0.7362170219421387,10.162189483642578,-99.083,0.535,0.542,0.1,0.101,9.824
4597394,3.48,7.22,3.56,6.79,-0.01,-0.38843101263046265,1.5971699953079224,0.15801730751991272,0.7493851184844971,10.168174743652344,-99.083,0.535,0.542,0.1,0.101,9.824
4597436,3.48,7.24,3.56,6.79,-0.01,-0.37027060985565186,1.6406651735305786,0.1496376097202301,0.7350199222564697,10.176554679870605,-99.083,0.535,0.539,0.09,0.096,9.824
4597458,3.49,7.26,3.56,6.79,-0.01,-0.3608708679676056,1.6632634401321411,0.16998831927776337,0.7386112213134766,10.160991668701172,-99.083,0.535,0.539,0.09,0.096,9.824
4597500,3.49,7.28,3.56,6.79,-0.01,-0.3432469069957733,1.7052799463272095,0.15921440720558167,0.7457938194274902,10.182539939880371,-99.083,0.535,0.539,0.09,0.096,9.824
4597542,3.49,7.3,3.56,6.79,-0.01,-0.32600364089012146,1.7463738918304443,0.1735796183347702,0.7350199222564697,10.178948402404785,-99.084,0.534,0.538,0.09,0.091,9.831
4597565,3.46,7.21,3.63,6.79,-0.01,-0.31710484623908997,1.767722725868225,0.16400282084941864,0.7433996200561523,10.15141487121582,-99.084,0.534,0.538,0.09,0.091,9.831
4597608,3.46,7.23,3.63,6.79,-0.01,-0.2996729612350464,1.8092786073684692,0.1604115068912506,0.7457938194274902,10.163386344909668,-99.084,0.531,0.539,0.091,0.087,9.826
4597630,3.46,7.24,3.63,6.79,-0.01,-0.29108890891075134,1.8299086093902588,0.1496376097202301,0.7410054206848145,10.163386344909668,-99.084,0.531,0.539,0.091,0.087,9.826
4597672,3.46,7.25,3.63,6.79,-0.01,-0.2750096917152405,1.8683135509490967,0.15442600846290588,0.7529764175415039,10.164583206176758,-99.084,0.531,0.539,0.091,0.087,9.826
4597714,3.47,7.28,3.63,6.79,-0.01,-0.2592732608318329,1.9059242010116577,0.14844051003456116,0.7410054206848145,10.188525199890137,-99.084,0.532,0.538,0.09,0.098,9.819
4597740,3.43,7.13,3.6,6.82,-0.01,-0.2504175007343292,1.9272377490997314,0.152031809091568,0.7362170219421387,10.183736801147461,-99.084,0.532,0.538,0.09,0.098,9.819
4597782,3.43,7.15,3.6,6.82,-0.01,-0.23449252545833588,1.965319037437439,0.1735796183347702,0.7326257228851318,10.183736801147461,-99.084,0.532,0.538,0.09,0.098,9.819
4597824,3.42,7.16,3.6,6.82,-0.01,-0.2196211963891983,2.000930070877075,0.1735796183347702,0.7266402244567871,10.168174743652344,-99.085,0.532,0.538,0.096,0.094,9.821
4597846,3.42,7.17,3.6,6.82,-0.01,-0.21194811165332794,2.01944899559021,0.1711854189634323,0.7374141216278076,10.17296314239502,-99.085,0.532,0.538,0.096,0.094,9.821
4597888,3.42,7.19,3.6,6.82,-0.01,-0.1975587159395218,2.053896188735962,0.16639702022075653,0.7410054206848145,10.163386344909668,-99.085,0.532,0.538,0.096,0.094,9.821
4597930,3.42,7.2,3.6,6.82,-0.01,-0.18347971141338348,2.087602138519287,0.17238251864910126,0.7350199222564697,10.17296314239502,-99.085,0.532,0.538,0.092,0.093,9.819
4597952,3.42,7.21,3.6,6.82,-0.01,-0.1762228012084961,2.1051230430603027,0.1711854189634323,0.7433996200561523,10.152612686157227,-99.085,0.532,0.538,0.092,0.093,9.819
4597994,3.42,7.23,3.6,6.82,-0.01,-0.16262704133987427,2.1377267837524414,0.1364694982767105,0.7338228225708008,10.1753568649292,-99.085,0.532,0.538,0.092,0.093,9.819
4598037,3.43,7.25,3.6,6.82,-0.01,-0.149337038397789,2.169649839401245,0.18794482946395874,0.7362170219421387,10.157401084899902,-99.085,0.535,0.54,0.097,0.096,9.822
4598058,3.43,7.26,3.6,6.82,-0.01,-0.14249713718891144,2.186256170272827,0.15682020783424377,0.7613561153411865,10.163386344909668,-99.085,0.535,0.54,0.097,0.096,9.822
4598100,3.43,7.28,3.6,6.82,-0.01,-0.12969481945037842,2.2172086238861084,0.16519992053508759,0.7529764175415039,10.153809547424316,-99.085,0.535,0.54,0.097,0.096,9.822
4598136,3.43,7.29,3.6,6.82,-0.01,-0.11925273388624191,2.242647409439087,0.15322890877723694,0.729034423828125,10.17296314239502,-99.086,0.537,0.54,0.086,0.091,9.814
4598178,3.43,7.31,3.6,6.82,-0.01,-0.10667894780635834,2.2732622623443604,0.14844051003456116,0.7410054206848145,10.157401084899902,-99.086,0.537,0.54,0.086,0.091,9.814
4598220,3.43,7.33,3.6,6.82,-0.01,-0.09464284777641296,2.3026466369628906,0.16879121959209442,0.7422025203704834,10.164583206176758,-99.086,0.538,0.538,0.088,0.094,9.824
4598245,3.43,7.35,3.6,6.82,-0.01,-0.08787281066179276,2.3193516731262207,0.15921440720558167,0.7386112213134766,10.187328338623047,-99.086,0.538,0.538,0.088,0.094,9.824
4598287,3.43,7.37,3.6,6.82,-0.01,-0.07592997699975967,2.34857439994812,0.16998831927776337,0.7433996200561523,10.159794807434082,-99.086,0.538,0.538,0.088,0.094,9.824
4598329,3.44,7.39,3.6,6.82,-0.01,-0.0644904375076294,2.3765430450439453,0.16759411990642548,0.750582218170166,10.181343078613281,-99.086,0.537,0.537,0.094,0.096,9.821
4598351,3.44,7.4,3.6,6.82,-0.01,-0.05858980864286423,2.391098737716675,0.16879121959209442,0.7445967197418213,10.163386344909668,-99.086,0.537,0.537,0.094,0.096,9.821
4598393,3.44,7.43,3.6,6.82,-0.01,-0.047507766634225845,2.4182074069976807,0.16879121959209442,0.7362170219421387,10.17416000366211,-99.086,0.537,0.537,0.094,0.096,9.821
4598435,3.44,7.45,3.6,6.82,-0.01,-0.03665874898433685,2.444775342941284,0.15682020783424377,0.7362170219421387,10.156203269958496,-99.087,0.54,0.537,0.085,0.093,9.829
4598460,3.49,7.3,3.63,6.78,-0.01,-0.031071767210960388,2.458606243133545,0.1711854189634323,0.7266402244567871,10.15021800994873,-99.087,0.54,0.537,0.085,0.093,9.829
4598503,3.49,7.32,3.63,6.78,-0.01,-0.019828777760267258,2.486090898513794,0.16400282084941864,0.730231523513794,10.1753568649292,-99.087,0.54,0.537,0.085,0.093,9.829
4598545,3.5,7.34,3.63,6.78,-0.01,-0.009343158453702927,2.511739492416382,0.15801730751991272,0.7565677165985107,10.178948402404785,-99.087,0.539,0.537,0.099,0.1,9.828
4598569,3.51,7.09,2.84,7.54,-0.01,-0.004087170120328665,2.52474045753479,0.1496376097202301,0.729034423828125,10.156203269958496,-99.087,0.539,0.537,0.099,0.1,9.828
4598611,3.52,7.1,2.84,7.54,-0.02,0.006230090279132128,2.549964427947998,0.1628057211637497,0.7553706169128418,10.159794807434082,-99.087,0.54,0.537,0.088,0.092,9.819
4598635,3.52,7.11,2.84,7.54,-0.02,0.011501306667923927,2.563020944595337,0.152031809091568,0.7541735172271729,10.182539939880371,-99.087,0.54,0.537,0.088,0.092,9.819
4598677,3.53,7.12,2.84,7.54,-0.02,0.02115580625832081,2.586745500564575,0.16160862147808075,0.7493851184844971,10.183736801147461,-99.087,0.54,0.537,0.088,0.092,9.819
4598719,3.53,7.13,2.84,7.54,-0.02,0.030312392860651016,2.6094088554382324,0.14844051003456116,0.729034423828125,10.178948402404785,-99.088,0.542,0.537,0.097,0.105,9.821
4598752,3.48,7.17,3.62,6.75,-0.02,0.036894530057907104,2.6259052753448486,0.15083470940589905,0.7410054206848145,10.170568466186523,-99.088,0.542,0.537,0.097,0.105,9.821
4598794,3.48,7.18,3.62,6.75,-0.02,0.04606930539011955,2.6487159729003906,0.16160862147808075,0.7230489253997803,10.164583206176758,-99.088,0.542,0.537,0.097,0.105,9.821
4598837,3.49,7.19,3.62,6.75,-0.02,0.05466318503022194,2.670016288757324,0.16160862147808075,0.7433996200561523,10.18493366241455,-99.088,0.542,0.537,0.099,0.102,9.819
4598860,3.48,7.17,3.61,6.79,-0.02,0.059094980359077454,2.68108868598938,0.16160862147808075,0.750582218170166,10.162189483642578,-99.088,0.542,0.537,0.099,0.102,9.819
4598902,3.49,7.18,3.61,6.79,-0.02,0.06790652871131897,2.702619791030884,0.15682020783424377,0.7206547260284424,10.157401084899902,-99.088,0.542,0.537,0.099,0.102,9.819
4598941,3.43,7.19,3.59,6.82,-0.02,0.07502415031194687,2.719940423965454,0.16160862147808075,0.7410054206848145,10.153809547424316,-99.089,0.542,0.539,0.092,0.097,9.824
4598984,3.44,7.2,3.59,6.82,-0.02,0.08403988927602768,2.7415390014648438,0.1628057211637497,0.7625532150268555,10.176554679870605,-99.089,0.542,0.539,0.092,0.097,9.824
4599026,3.44,7.21,3.59,6.82,-0.02,0.09216547757387161,2.7609469890594482,0.16400282084941864,0.7362170219421387,10.168174743652344,-99.089,0.542,0.54,0.091,0.097,9.826
4599048,3.44,7.22,3.59,6.82,-0.02,0.09637487679719925,2.7710883617401123,0.16519992053508759,0.7338228225708008,10.190919876098633,-99.089,0.542,0.54,0.091,0.097,9.826
4599090,3.45,7.24,3.59,6.82,-0.02,0.10436347872018814,2.7899694442749023,0.1604115068912506,0.7362170219421387,10.178948402404785,-99.089,0.542,0.54,0.091,0.097,9.826
4599132,3.45,7.25,3.59,6.82,-0.02,0.11221841722726822,2.8084380626678467,0.152031809091568,0.729034423828125,10.165780067443848,-99.089,0.543,0.541,0.096,0.095,9.826
4599155,3.44,7.18,3.6,6.78,-0.02,0.11626453697681427,2.8180429935455322,0.16879121959209442,0.7410054206848145,10.14782428741455,-99.089,0.543,0.541,0.096,0.095,9.826
4599198,3.45,7.19,3.6,6.78,-0.02,0.12427318096160889,2.8367295265197754,0.16639702022075653,0.7410054206848145,10.155006408691406,-99.089,0.543,0.541,0.096,0.095,9.826
4599240,3.45,7.2,3.6,6.78,-0.02,0.13174104690551758,2.85420823097229,0.16639702022075653,0.7457938194274902,10.17296314239502,-99.089,0.542,0.541,0.087,0.098,9.829
4599263,3.41,7.22,3.61,6.79,-0.02,0.13556763529777527,2.8633084297180176,0.1496376097202301,0.7338228225708008,10.170568466186523,-99.089,0.542,0.541,0.087,0.098,9.829
4599306,3.42,7.23,3.61,6.79,-0.03,0.14318114519119263,2.8810088634490967,0.14604631066322327,0.7362170219421387,10.168174743652344,-99.089,0.542,0.541,0.087,0.098,9.829
4599347,3.42,7.2,3.68,6.76,-0.03,0.14983858168125153,2.896406412124634,0.152031809091568,0.7386112213134766,10.158597946166992,-99.091,0.548,0.539,0.095,0.102,9.822
4599389,3.43,7.21,3.68,6.76,-0.03,0.15728943049907684,2.9133589267730713,0.15682020783424377,0.7410054206848145,10.162189483642578,-99.091,0.548,0.539,0.095,0.102,9.822
4599431,3.43,7.22,3.68,6.76,-0.03,0.16434188187122345,2.9292237758636475,0.1711854189634323,0.7457938194274902,10.18493366241455,-99.091,0.543,0.54,0.093,0.095,9.824
4599453,3.43,7.23,3.68,6.76,-0.03,0.16800126433372498,2.9374940395355225,0.15682020783424377,0.7386112213134766,10.17296314239502,-99.091,0.543,0.54,0.093,0.095,9.824
4599495,3.44,7.24,3.68,6.76,-0.03,0.1749681979417801,2.952866554260254,0.13766659796237946,0.7481880187988281,10.180145263671875,-99.091,0.543,0.54,0.093,0.095,9.824
4599537,3.44,7.26,3.68,6.76,-0.03,0.18180622160434723,2.9678995609283447,0.1711854189634323,0.7469909191131592,10.170568466186523,-99.091,0.544,0.538,0.096,0.096,9.824
4599560,3.44,7.22,2.72,7.68,-0.03,0.18530844151973724,2.9757232666015625,0.16400282084941864,0.7350199222564697,10.168174743652344,-99.091,0.544,0.538,0.096,0.096,9.824
4599603,3.45,7.23,2.72,7.68,-0.03,0.19218942523002625,2.9909722805023193,0.1604115068912506,0.7601590156555176,10.1753568649292,-99.091,0.544,0.538,0.096,0.096,9.824
4599637,3.45,7.24,2.72,7.68,-0.03,0.19719068706035614,3.002293586730957,0.1412578970193863,0.7457938194274902,10.170568466186523,-99.092,0.544,0.54,0.1,0.102,9.826
4599679,3.46,7.25,2.72,7.68,-0.03,0.20359285175800323,3.0167553424835205,0.16400282084941864,0.7170634269714355,10.17296314239502,-99.092,0.544,0.54,0.1,0.102,9.826
4599721,3.46,7.27,2.72,7.68,-0.03,0.20971561968326569,3.0306344032287598,0.15322890877723694,0.7338228225708008,10.17176628112793,-99.092,0.544,0.544,0.093,0.092,9.822
4599746,3.47,7.27,2.72,7.68,-0.03,0.2131325900554657,3.038530111312866,0.15442600846290588,0.7445967197418213,10.156203269958496,-99.092,0.544,0.544,0.093,0.092,9.822
4599788,3.48,7.29,2.72,7.68,-0.03,0.2192021906375885,3.052347183227539,0.1472434103488922,0.7410054206848145,10.176554679870605,-99.092,0.544,0.544,0.093,0.092,9.822
4599830,3.48,7.3,2.72,7.68,-0.03,0.22502882778644562,3.0656139850616455,0.152031809091568,0.7266402244567871,10.187328338623047,-99.092,0.543,0.545,0.097,0.099,9.824
4599852,3.49,7.31,2.72,7.68,-0.03,0.22801849246025085,3.072545051574707,0.17717093229293823,0.727837324142456,10.155006408691406,-99.092,0.543,0.545,0.097,0.099,9.824
4599894,3.49,7.32,2.72,7.68,-0.03,0.23367732763290405,3.0854477882385254,0.14006079733371735,0.7433996200561523,10.15021800994873,-99.092,0.543,0.545,0.097,0.099,9.824
4599930,3.5,7.34,2.72,7.68,-0.03,0.2382785826921463,3.0960612297058105,0.16639702022075653,0.7398083209991455,10.166977882385254,-99.093,0.544,0.543,0.09,0.097,9.824
4599971,3.51,7.35,2.72,7.68,-0.03,0.2437264770269394,3.1085398197174072,0.15322890877723694,0.7350199222564697,10.176554679870605,-99.093,0.544,0.543,0.09,0.097,9.824
4600014,3.52,7.37,2.72,7.68,-0.03,0.24909575283527374,3.120772123336792,0.14844051003456116,0.7433996200561523,10.15021800994873,-99.093,0.544,0.542,0.094,0.095,9.829
4600046,3.53,7.38,2.72,7.68,-0.03,0.25311923027038574,3.1299631595611572,0.15801730751991272,0.7182605266571045,10.17296314239502,-99.093,0.544,0.542,0.094,0.095,9.829
4600088,3.54,7.4,2.72,7.68,-0.03,0.25849300622940063,3.1419765949249268,0.15562310814857483,0.7613561153411865,10.156203269958496,-99.093,0.544,0.542,0.094,0.095,9.829
